"SYMBOL"	"LocusTag"	"description"	"LENGTH_AA"	"PROTEIN_REFSEQ"	"UNIPROT"	"PI"	"link_UNIPROT"	"link_NCBI"	"MW"	"new_Gene"	"SVM_prediction"	"Shift"	"High_significant_fractions"	"Low_significant_fractions"	"Cluster"	"Cluster_confidence"
"acnB"	"PCC7120DELTA_RS08175"	"Bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase"	876	"WP_010995439.1"	"Q8YXE6"	"5.23"	"https://www.uniprot.org/uniprotkb/Q8YXE6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995439.1/"	"94.65"	"acnB(all1267)"	"TRUE"	"FALSE"	"NA"	"NA"	10	"99.29"
"acpD"	"PCC7120DELTA_RS12365"	"FMN-dependent NADH-azoreductase"	207	"WP_010996263.1"	"Q8YV76"	"5.31"	"https://www.uniprot.org/uniprotkb/Q8YV76/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996263.1/"	"22.78"	"acpD(all2105)"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"acpP"	"PCC7120DELTA_RS18450"	"Acyl carrier protein"	84	"WP_010997493.1"	"P58553"	"3.74"	"https://www.uniprot.org/uniprotkb/P58553/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010997493.1/"	"9.25"	"acpP(asr3342)"	"FALSE"	"FALSE"	"NA"	"NA"	2	100
"acrB"	"PCC7120DELTA_RS17470"	"Efflux RND transporter permease subunit"	1057	"WP_010997294.1"	"Q8YSE5"	"5.45"	"https://www.uniprot.org/uniprotkb/Q8YSE5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010997294.1/"	"115.6"	"acrB(all3143)"	"FALSE"	"FALSE"	"NA"	"NA"	17	"99.49"
"acsF"	"PCC7120DELTA_RS08625"	"Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase"	351	"WP_010995530.1"	"Q8YX57"	"8.59"	"https://www.uniprot.org/uniprotkb/Q8YX57/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995530.1/"	"41.42"	"acsF(alr1358)"	"FALSE"	"FALSE"	"NA"	"NA"	11	100
"acsF3"	"PCC7120DELTA_RS18245"	"Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase"	358	"WP_010997451.1"	"Q8YRZ2"	"5.9"	"https://www.uniprot.org/uniprotkb/Q8YRZ2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010997451.1/"	"42.3"	"acsF3(alr3300)"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"acyP"	"PCC7120DELTA_RS06250"	"Acylphosphatase"	101	"WP_010995051.1"	"Q8YYH3"	"5.62"	"https://www.uniprot.org/uniprotkb/Q8YYH3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995051.1/"	"11.18"	"acyP(alr0877)"	"TRUE"	"FALSE"	"NA"	"NA"	1	100
"adk1"	"PCC7120DELTA_RS22700"	"Adenylate kinase"	184	"WP_010998334.1"	"Q8YPJ8"	"5.05"	"https://www.uniprot.org/uniprotkb/Q8YPJ8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010998334.1/"	"20.44"	"adk1(all4196)"	"FALSE"	"FALSE"	"NA"	"NA"	2	"99.95"
"ado"	"PCC7120DELTA_RS27960"	"Aldehyde oxygenase (deformylating)"	231	"WP_010999407.1"	"Q8YLL5"	"4.8"	"https://www.uniprot.org/uniprotkb/Q8YLL5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010999407.1/"	"26.17"	"ado(alr5283)"	"FALSE"	"FALSE"	"NA"	"NA"	3	"98.87"
"agp"	"PCC7120DELTA_RS24850"	"Glucose-1-phosphate adenylyltransferase"	429	"WP_010998776.1"	"P30521"	"5.65"	"https://www.uniprot.org/uniprotkb/P30521/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010998776.1/"	"48.34"	"agp(all4645)"	"FALSE"	"FALSE"	"NA"	"NA"	12	100
"agrE"	"PCC7120DELTA_RS26570"	"TIGR00300 family protein"	703	"WP_010999121.1"	"Q8YMD9"	"5.41"	"https://www.uniprot.org/uniprotkb/Q8YMD9/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010999121.1/"	"77.98"	"agrE(alr4995)"	"FALSE"	"FALSE"	"NA"	"NA"	9	"99.97"
"ahcY"	"PCC7120DELTA_RS08895"	"Adenosylhomocysteinase"	425	"WP_010995586.1"	"Q8YX05"	"5.83"	"https://www.uniprot.org/uniprotkb/Q8YX05/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010995586.1/"	"46.17"	"ahcY(alr1414)"	"FALSE"	"FALSE"	"NA"	"NA"	14	"99.88"
"ahpD"	"PCC7120DELTA_RS28385"	"Carboxymuconolactone decarboxylase family protein"	130	"WP_010999495.1"	"Q8YLD1"	"4.85"	"https://www.uniprot.org/uniprotkb/Q8YLD1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010999495.1/"	"14.55"	"ahpD(all5371)"	"FALSE"	"TRUE"	15	"NA"	13	"93.53"
"aiiC"	"PCC7120DELTA_RS21315"	"Penicillin acylase family protein"	841	"WP_044523212.1"	"Q8YQA9"	"6.23"	"https://www.uniprot.org/uniprotkb/Q8YQA9/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044523212.1/"	"96.1"	"aiiC(all3924)"	"FALSE"	"FALSE"	"NA"	"NA"	13	100
"alaS"	"PCC7120DELTA_RS13905"	"Alanine--tRNA ligase"	880	"WP_010996574.1"	"Q8YUD4"	"5.16"	"https://www.uniprot.org/uniprotkb/Q8YUD4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996574.1/"	"96.72"	"alaS(alr2418)"	"TRUE"	"FALSE"	"NA"	"NA"	12	100
"ald"	"PCC7120DELTA_RS13610"	"Alanine dehydrogenase"	363	"WP_010996511.1"	"Q8YUJ1"	"6.01"	"https://www.uniprot.org/uniprotkb/Q8YUJ1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010996511.1/"	"38.89"	"ald(alr2355)"	"FALSE"	"FALSE"	"NA"	"NA"	15	100
"all0001"	"PCC7120DELTA_RS30340"	"Hypothetical protein"	409	"WP_049942520.1"	"Q8ZSL0"	"9.05"	"https://www.uniprot.org/uniprotkb/Q8ZSL0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_049942520.1/"	"44.64"	"all0001"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0002"	"PCC7120DELTA_RS01985"	"Hypothetical protein"	245	"WP_010994179.1"	"Q8Z0S3"	"8.47"	"https://www.uniprot.org/uniprotkb/Q8Z0S3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994179.1/"	"26.91"	"all0002"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0012"	"PCC7120DELTA_RS02035"	"Class I SAM-dependent methyltransferase"	399	"WP_010994189.1"	"Q8Z0S1"	"5.17"	"https://www.uniprot.org/uniprotkb/Q8Z0S1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994189.1/"	"45.04"	"all0012"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0025"	"PCC7120DELTA_RS02100"	"SRPBCC family protein"	146	"WP_010994202.1"	"Q8Z0R5"	"5.81"	"https://www.uniprot.org/uniprotkb/Q8Z0R5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994202.1/"	"16.8"	"all0025"	"FALSE"	"FALSE"	"NA"	"NA"	5	100
"all0040"	"PCC7120DELTA_RS02180"	"Hypothetical protein"	530	"WP_044520462.1"	"Q8Z0Q0"	"9.38"	"https://www.uniprot.org/uniprotkb/Q8Z0Q0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520462.1/"	"57.36"	"all0040"	"FALSE"	"FALSE"	"NA"	"NA"	12	100
"all0042"	"PCC7120DELTA_RS02190"	"Glycosyltransferase family 2 protein"	328	"WP_197535804.1"	"Q8Z0P8"	"8.21"	"https://www.uniprot.org/uniprotkb/Q8Z0P8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_197535804.1/"	"35.12"	"all0042"	"FALSE"	"TRUE"	19	"NA"	14	"93.52"
"all0047"	"PCC7120DELTA_RS02215"	"DUF4335 domain-containing protein"	531	"WP_010994224.1"	"Q8Z0P3"	"5.16"	"https://www.uniprot.org/uniprotkb/Q8Z0P3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994224.1/"	"57.08"	"all0047"	"FALSE"	"FALSE"	"NA"	"NA"	6	100
"all0048"	"PCC7120DELTA_RS02220"	"DUF3038 domain-containing protein"	201	"WP_010994225.1"	"Q8Z0P2"	"5.7"	"https://www.uniprot.org/uniprotkb/Q8Z0P2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994225.1/"	"22.69"	"all0048"	"FALSE"	"FALSE"	"NA"	"NA"	5	"93.92"
"all0049"	"PCC7120DELTA_RS02225"	"Endonuclease MutS2"	798	"WP_010994226.1"	"Q8Z0P1"	"6.82"	"https://www.uniprot.org/uniprotkb/Q8Z0P1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994226.1/"	"74.63"	"all0049"	"TRUE"	"FALSE"	"NA"	"NA"	9	"99.99"
"all0050"	"PCC7120DELTA_RS02230"	"Hypothetical protein"	345	"WP_010994227.1"	"Q8Z0P0"	"9.45"	"https://www.uniprot.org/uniprotkb/Q8Z0P0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994227.1/"	"38.68"	"all0050"	"FALSE"	"FALSE"	"NA"	"NA"	3	"99.97"
"all0065"	"PCC7120DELTA_RS02300"	"Hypothetical protein"	116	"WP_010994242.1"	"Q8Z0M6"	"5.08"	"https://www.uniprot.org/uniprotkb/Q8Z0M6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994242.1/"	"12.81"	"all0065"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"all0071"	"PCC7120DELTA_RS02330"	"Hypothetical protein"	195	"WP_044520475.1"	"Q8Z0M0"	"9.35"	"https://www.uniprot.org/uniprotkb/Q8Z0M0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520475.1/"	"23.62"	"all0071"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0089"	"PCC7120DELTA_RS02420"	"SIMPL domain-containing protein"	248	"WP_044520479.1"	"Q8Z0K2"	"6.62"	"https://www.uniprot.org/uniprotkb/Q8Z0K2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520479.1/"	"23.42"	"all0089"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0122"	"PCC7120DELTA_RS02570"	"Alpha-ketoacid dehydrogenase subunit beta"	327	"WP_010994299.1"	"Q8Z0H4"	"5.64"	"https://www.uniprot.org/uniprotkb/Q8Z0H4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994299.1/"	"36.35"	"all0122"	"FALSE"	"FALSE"	"NA"	"NA"	11	"99.47"
"all0135"	"PCC7120DELTA_RS02635"	"HAD family hydrolase"	244	"WP_010994312.1"	"Q8Z0G1"	"4.52"	"https://www.uniprot.org/uniprotkb/Q8Z0G1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994312.1/"	"25.84"	"all0135"	"FALSE"	"FALSE"	"NA"	"NA"	5	"92.35"
"all0139"	"PCC7120DELTA_RS02655"	"Hypothetical protein"	107	"WP_010994316.1"	"Q8Z0F8"	"6.26"	"https://www.uniprot.org/uniprotkb/Q8Z0F8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994316.1/"	"12.34"	"all0139"	"FALSE"	"FALSE"	"NA"	"NA"	3	100
"all0143"	"PCC7120DELTA_RS02675"	"Glycosyltransferase family 2 protein"	396	"WP_044520496.1"	"Q8Z0F4"	"8.61"	"https://www.uniprot.org/uniprotkb/Q8Z0F4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520496.1/"	"43.52"	"all0143"	"FALSE"	"FALSE"	"NA"	"NA"	10	100
"all0144"	"PCC7120DELTA_RS02680"	"Carotenoid biosynthesis protein"	301	"WP_010994321.1"	"Q8Z0F3"	"8.85"	"https://www.uniprot.org/uniprotkb/Q8Z0F3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994321.1/"	"32.46"	"all0144"	"FALSE"	"FALSE"	"NA"	"NA"	10	"99.55"
"all0156"	"PCC7120DELTA_RS02740"	"FHA domain-containing protein"	205	"WP_044520502.1"	"Q8Z0E2"	"4.31"	"https://www.uniprot.org/uniprotkb/Q8Z0E2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520502.1/"	"19.68"	"all0156"	"FALSE"	"FALSE"	"NA"	"NA"	13	100
"all0157"	"PCC7120DELTA_RS02745"	"Hypothetical protein"	222	"WP_010994334.1"	"Q8Z0E1"	"9.52"	"https://www.uniprot.org/uniprotkb/Q8Z0E1/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994334.1/"	"24.15"	"all0157"	"FALSE"	"FALSE"	"NA"	"NA"	12	"99.13"
"all0158"	"PCC7120DELTA_RS02750"	"Hypothetical protein"	300	"WP_044520504.1"	"Q8Z0E0"	"9.89"	"https://www.uniprot.org/uniprotkb/Q8Z0E0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520504.1/"	"30.02"	"all0158"	"FALSE"	"FALSE"	"NA"	"NA"	12	100
"all0160"	"PCC7120DELTA_RS02760"	"Glycosyltransferase"	384	"WP_010994337.1"	"Q8Z0D8"	"5.82"	"https://www.uniprot.org/uniprotkb/Q8Z0D8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994337.1/"	"42.52"	"all0160"	"FALSE"	"FALSE"	"NA"	"NA"	14	"93.71"
"all0164"	"PCC7120DELTA_RS02780"	"Phage holin family protein"	137	"WP_010994341.1"	"Q8Z0D4"	"5.54"	"https://www.uniprot.org/uniprotkb/Q8Z0D4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994341.1/"	"14.07"	"all0164"	"FALSE"	"TRUE"	"1_2 8"	"NA"	"NA"	"NA"
"all0170"	"PCC7120DELTA_RS02820"	"Alpha-hydroxy-acid oxidizing protein"	365	"WP_010994347.1"	"Q8Z0C8"	"5.64"	"https://www.uniprot.org/uniprotkb/Q8Z0C8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994347.1/"	"39.16"	"all0170"	"FALSE"	"FALSE"	"NA"	"NA"	14	"99.6"
"all0173"	"PCC7120DELTA_RS02835"	"M48 family metallopeptidase"	291	"WP_010994350.1"	"Q8Z0C5"	"5.98"	"https://www.uniprot.org/uniprotkb/Q8Z0C5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994350.1/"	"32.18"	"all0173"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0184"	"PCC7120DELTA_RS02895"	"Bifunctional oligoribonuclease/PAP phosphatase NrnA"	427	"WP_010994361.1"	"Q8Z0B4"	"5.12"	"https://www.uniprot.org/uniprotkb/Q8Z0B4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994361.1/"	"47.63"	"all0184"	"FALSE"	"FALSE"	"NA"	"NA"	15	"98.93"
"all0186"	"PCC7120DELTA_RS02905"	"Pentapeptide repeat-containing protein"	168	"WP_010994363.1"	"Q8Z0B2"	"6.23"	"https://www.uniprot.org/uniprotkb/Q8Z0B2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994363.1/"	"18.44"	"all0186"	"FALSE"	"FALSE"	"NA"	"NA"	1	"99.98"
"all0192"	"PCC7120DELTA_RS02935"	"Serine/threonine protein kinase"	553	"WP_010994369.1"	"Q8Z0A6"	"9.25"	"https://www.uniprot.org/uniprotkb/Q8Z0A6/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994369.1/"	"62.37"	"all0192"	"FALSE"	"TRUE"	"1_2"	"NA"	"NA"	"NA"
"all0195"	"PCC7120DELTA_RS02950"	"Spx/MgsR family RNA polymerase-binding regulatory protein"	117	"WP_010994372.1"	"Q8Z0A3"	"8.91"	"https://www.uniprot.org/uniprotkb/Q8Z0A3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994372.1/"	"13.62"	"all0195"	"FALSE"	"FALSE"	"NA"	"NA"	3	"99.98"
"all0215"	"PCC7120DELTA_RS03050"	"Hypothetical protein"	216	"WP_044522657.1"	"Q8Z083"	"9.59"	"https://www.uniprot.org/uniprotkb/Q8Z083/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044522657.1/"	"23.05"	"all0215"	"FALSE"	"FALSE"	"NA"	"NA"	2	100
"all0217"	"PCC7120DELTA_RS03060"	"Hypothetical protein"	239	"WP_010994394.1"	"Q8Z081"	"5.15"	"https://www.uniprot.org/uniprotkb/Q8Z081/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994394.1/"	"26.99"	"all0217"	"FALSE"	"FALSE"	"NA"	"NA"	8	100
"all0219"	"PCC7120DELTA_RS03070"	"EAL domain-containing protein"	585	"WP_010994396.1"	"Q8Z079"	"4.94"	"https://www.uniprot.org/uniprotkb/Q8Z079/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994396.1/"	"65.85"	"all0219"	"FALSE"	"FALSE"	"NA"	"NA"	11	"95.25"
"all0232"	"PCC7120DELTA_RS03135"	"NYN domain-containing protein"	209	"WP_010994409.1"	"Q8Z069"	"4.74"	"https://www.uniprot.org/uniprotkb/Q8Z069/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994409.1/"	"23.58"	"all0232"	"FALSE"	"FALSE"	"NA"	"NA"	15	100
"all0245"	"PCC7120DELTA_RS03205"	"Tocopherol cyclase family protein"	358	"WP_044520539.1"	"Q8Z056"	"5.77"	"https://www.uniprot.org/uniprotkb/Q8Z056/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520539.1/"	"41.37"	"all0245"	"FALSE"	"FALSE"	"NA"	"NA"	10	100
"all0263"	"PCC7120DELTA_RS03285"	"AAA family ATPase"	400	"WP_044520549.1"	"Q8Z040"	"5.77"	"https://www.uniprot.org/uniprotkb/Q8Z040/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520549.1/"	"46.83"	"all0263"	"FALSE"	"FALSE"	"NA"	"NA"	11	"99.74"
"all0268"	"PCC7120DELTA_RS03310"	"MBL fold metallO-hydrolase"	255	"WP_010994445.1"	"Q8Z035"	"9.23"	"https://www.uniprot.org/uniprotkb/Q8Z035/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994445.1/"	"27.33"	"all0268"	"FALSE"	"FALSE"	"NA"	"NA"	2	100
"all0292"	"PCC7120DELTA_RS03420"	"Hypothetical protein"	199	"WP_010994469.1"	"Q8Z011"	"5.42"	"https://www.uniprot.org/uniprotkb/Q8Z011/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994469.1/"	"22.18"	"all0292"	"FALSE"	"FALSE"	"NA"	"NA"	4	100
"all0293"	"PCC7120DELTA_RS03425"	"Hypothetical protein"	1331	"WP_010994470.1"	"Q8Z010"	"4.44"	"https://www.uniprot.org/uniprotkb/Q8Z010/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994470.1/"	"147.91"	"all0293"	"FALSE"	"FALSE"	"NA"	"NA"	11	"99.71"
"all0298"	"PCC7120DELTA_RS03445"	"Hypothetical protein"	124	"WP_010994475.1"	"Q8Z005"	"4.89"	"https://www.uniprot.org/uniprotkb/Q8Z005/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994475.1/"	"14.21"	"all0298"	"FALSE"	"TRUE"	12	7	6	100
"all0307"	"PCC7120DELTA_RS03485"	"Hypothetical protein"	114	"WP_010994483.1"	"Q8YZZ7"	"8.71"	"https://www.uniprot.org/uniprotkb/Q8YZZ7/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994483.1/"	"12.86"	"all0307"	"FALSE"	"FALSE"	"NA"	"NA"	1	"99.99"
"all0316"	"PCC7120DELTA_RS03520"	"Alpha/beta hydrolase"	295	"WP_010994492.1"	"Q8YZY8"	"8.4"	"https://www.uniprot.org/uniprotkb/Q8YZY8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994492.1/"	"32.41"	"all0316"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0330"	"PCC7120DELTA_RS03590"	"ATP-binding protein"	670	"WP_010994506.1"	"Q8YZX5"	"5.73"	"https://www.uniprot.org/uniprotkb/Q8YZX5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994506.1/"	"74.68"	"all0330"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0337"	"PCC7120DELTA_RS03625"	"Type II toxin-antitoxin system PemK/MazF family toxin"	121	"WP_010994513.1"	"Q8YZW8"	"4.9"	"https://www.uniprot.org/uniprotkb/Q8YZW8/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994513.1/"	"13.27"	"all0337"	"FALSE"	"FALSE"	"NA"	"NA"	5	100
"all0341"	"PCC7120DELTA_RS03645"	"DUF2207 domain-containing protein"	177	"WP_044522676.1"	"Q8YZW4"	"5.04"	"https://www.uniprot.org/uniprotkb/Q8YZW4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044522676.1/"	"31.8"	"all0341"	"FALSE"	"FALSE"	"NA"	"NA"	9	"99.32"
"all0345"	"PCC7120DELTA_RS03665"	"MerR family transcriptional regulator"	270	"WP_044520584.1"	"Q8YZW0"	"5.72"	"https://www.uniprot.org/uniprotkb/Q8YZW0/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_044520584.1/"	"32.95"	"all0345"	"FALSE"	"TRUE"	"NA"	7	2	100
"all0350"	"PCC7120DELTA_RS03690"	"Antibiotic biosynthesis monooxygenase"	186	"WP_010994526.1"	"Q8YZV5"	"9.04"	"https://www.uniprot.org/uniprotkb/Q8YZV5/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994526.1/"	"21.39"	"all0350"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0351"	"PCC7120DELTA_RS03695"	"Hypothetical protein"	302	"WP_010994527.1"	"Q8YZV4"	"4.49"	"https://www.uniprot.org/uniprotkb/Q8YZV4/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994527.1/"	"32.12"	"all0351"	"FALSE"	"TRUE"	8	"NA"	3	"99.97"
"all0352"	"PCC7120DELTA_RS03700"	"SDR family oxidoreductase"	248	"WP_010994528.1"	"Q8YZV3"	"5.29"	"https://www.uniprot.org/uniprotkb/Q8YZV3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994528.1/"	"27.15"	"all0352"	"FALSE"	"FALSE"	"NA"	"NA"	10	100
"all0384"	"PCC7120DELTA_RS03840"	"Rhodanese-related sulfurtransferase"	309	"WP_010994560.1"	"Q8YZS3"	"5.04"	"https://www.uniprot.org/uniprotkb/Q8YZS3/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994560.1/"	"35.08"	"all0384"	"FALSE"	"FALSE"	"NA"	"NA"	"NA"	"NA"
"all0385"	"PCC7120DELTA_RS03850"	"Class I SAM-dependent methyltransferase"	210	"WP_010994561.1"	"Q8YZS2"	"6.08"	"https://www.uniprot.org/uniprotkb/Q8YZS2/entry"	"https://www.ncbi.nlm.nih.gov/protein/WP_010994561.1/"	"23.13"	"all0385"	"FALSE"	"FALSE"	"NA"	"NA"	3	"99.24"
