"Gene"	"Protein.ID"	"Protein.Description"	"SVM"	"n_ctrl"	"n_rnase"	"n_hits"	"hits"	"n_candidates"	"candidates"	"n_hits_plus_candidates"	"FC_fraction01_2"	"FC_fraction03"	"FC_fraction04"	"FC_fraction05"	"FC_fraction06"	"FC_fraction07"	"FC_fraction08"	"FC_fraction09"	"FC_fraction10"	"FC_fraction11"	"FC_fraction12"	"FC_fraction13"	"FC_fraction14"	"FC_fraction15"	"FC_fraction16"	"FC_fraction17"	"FC_fraction18"	"FC_fraction19"	"p_fraction01_2"	"p_fraction03"	"p_fraction04"	"p_fraction05"	"p_fraction06"	"p_fraction07"	"p_fraction08"	"p_fraction09"	"p_fraction10"	"p_fraction11"	"p_fraction12"	"p_fraction13"	"p_fraction14"	"p_fraction15"	"p_fraction16"	"p_fraction17"	"p_fraction18"	"p_fraction19"
"rpsS"	"Q8YPI3"	"30S ribosomal protein S19 "	1,1326565674	3	3	6	"fraction07 fraction13 fraction14 fraction15 fraction16 fraction17"	2	"fraction06 fraction08"	8	-0,1335087895	-0,7006227503	-0,5588730766	0,2867029966	0,9104888987	1,2893616328	0,9408709629	0,1537474549	-1,0048881356	0,0338216526	1,1365705418	1,6151456528	1,9549473184	2,24370853	2,0156002193	-1,4082297647	-1,1955354612	-0,8762302708	0,9325482098	0,4639525835	0,8260636005	0,9417974486	0,0015789877	0,0010572451	0,0469268247	0,9517581456	0,6939056233	0,9789790794	0,6757629632	0,0477900055	0,0001325168	1,71E-06	0,0012132651	0,0376766645	0,0759621686	0,1443086898
"all4063"	"Q8YPX7"	"Phosphatidylglycerophosphate synthase "	-1,5963367202	1	1	7	"fraction03 fraction05 fraction06 fraction16 fraction17 fraction18 fraction19"	0		7	-0,2281422779	1,5767802867	0,0093114817	-1,3066577891	-1,0427098689	-1,0871706423	-0,8694581037	-0,4192126186	-0,1822795809	0,4175773267	0,5644625023	-0,1427300483	0,5421573299	1,7071153219	2,2503086171	2,3372491556	2,6519239785	1,9697901737	0,9169778212	3,95E-06	0,96035512	2,12E-05	0,0048420049	0,0856544517	0,34061717	0,9083990081	0,945533737	0,9543822834	0,9164928743	0,9496551875	0,9380903805	0,1620320862	0,0027100368	0,0062793185	4,01E-05	0,002180089
"rimP"	"Q8YQJ5"	"Ribosome maturation factor RimP "	-1,5015188625	2	2	7	"fraction01_2 fraction03 fraction06 fraction07 fraction08 fraction09 fraction13"	0		7	-3,0727068165	-1,7072038058	0,0581831534	0,3876953674	1,062011917	1,5238053281	1,9301336293	1,6449519261				1,974765549						0,3235037747	2,73E-11	0,0005437929	0,9534161911	0,6339812048	0,0118859422	0,0331011723	0,0002960795	0,0351742015				0,0016032833						0,9190805074
"alr1166"	"Q8YXP6"	"Alr1166 protein "	-1,3343427032	1	1	7	"fraction09 fraction10 fraction11 fraction14 fraction15 fraction17 fraction19"	0		7	-0,5750456393	-0,6551194426	0,1771552152	-0,1718094076	-0,2067951071	0,5990071873	1,0357335588	1,9370395795	1,5945904729	2,6640431352	1,2457338641	1,7720565108	2,152263203	2,7021953187	0,8773027778	2,5671474014	1,3189703413	3,4059311362	0,716834686	0,3037929426	0,8947744764	0,9464178147	0,9306455247	0,7934057797	0,1648825006	0,007433955	0,0488247897	0,0001807409	0,4466765549	0,0706166612	0,0101528258	0,0002512947	0,82966754	0,0017190722	0,1926781488	5,08E-11
"all2989"	"Q8YSU3"	"All2989 protein "	-1,2511682654	2	2	7	"fraction08 fraction09 fraction10 fraction11 fraction13 fraction14 fraction16"	0		7	0,9462290056	0,0636399529	-0,3102590106	-0,4250148411	0,2169208939	0,7756682481	1,1664087901	1,7850093712	1,8524051911	1,9955886024	1,2759807866	1,5625880165	2,0694254411		1,8505984594	1,4627697807	1,2025621307	0,6024812127	0,0583951932	0,950668753	0,3604871777	0,6685414234	0,8896959175	0,3494093019	0,0131962895	0,000994747	0,0003888928	0,0002713541	0,2337968476	0,0284430354	0,0113706451		0,0047577926	0,1729510209	0,0980808184	0,6284860843
"all1122"	"Q8YXT9"	"All1122 protein "	-1,1067130324	1	1	7	"fraction08 fraction10 fraction11 fraction12 fraction13 fraction14 fraction16"	0		7							-1,3650733011	-0,8111148997	-1,6169908306	-2,4379224574	-2,4246453482	-2,4652781623	-2,0729675825	-0,2403933722	-2,3964279816	-1,6893852666									0,0265471046	0,6970778304	0,043878407	0,0008514957	0,002610382	0,0017526332	0,0164321289	0,977658205	0,0010201214	0,1378358906		
"alr1229"	"Q8YXI4"	"Two-component sensor histidine kinase "	-0,8503331355	1	1	7	"fraction03 fraction04 fraction07 fraction08 fraction16 fraction18 fraction19"	0		7	0,2127043912	2,1160393747	2,5425834583	0,7390066824	-0,1256936176	-1,5243308809	-1,3405958911	-0,780167828	-0,6843225193	-1,3974881754	-1,0546767653	-1,7579493202	-0,3303537586	-1,3213030998	-1,9308760224	-1,4526234465	-1,702290316	-1,8017151293	0,9206924846	8,55E-12	1,39E-13	0,0940254674	0,9522833895	0,0018488214	0,0305976628	0,7250474623	0,786386771	0,2956326582	0,6581722924	0,0740102559	0,9618008654	0,5825818115	0,0201652521	0,3753348105	0,0367036338	0,0072072963
"rlpA"	"Q8YSZ4"	"Probable endolytic peptidoglycan transglycosylase RlpA "	-0,396704188	1	1	6	"fraction01_2 fraction03 fraction04 fraction05 fraction09 fraction19"	1	"fraction06"	7	-2,6764505142	-2,5269703382	-1,9575340216	1,3443189403	-0,8698693256	-0,454452453	-1,1709931925	1,6378722381	-0,220023143	-1,6592430904	-0,6576027925	-1,2469013272	-0,9750551154	-1,68382248	-0,090255508	0,4611584969	0,76011796	-2,1702438945	6,91E-10	2,78E-13	1,39E-13	1,07E-05	0,0414862697	0,8963011917	0,087658545	0,0402568052	0,940899038	0,0954452014	0,8925866038	0,3827428275	0,7897562869	0,1806273317	0,9753845898	0,9640618632	0,7750432256	0,0003031206
"asr1307"	"Q8YXA8"	"Asr1307 protein "	-0,1881193241	1	1	6	"fraction03 fraction06 fraction07 fraction08 fraction09 fraction13"	1	"fraction04"	7	0,4560353834	-1,3739207023	-0,734348901	0,6089432993	1,9450475028	1,2126194652	3,1482006025	2,3425652237	0,941556309	0,2270689329	0,9765648456	1,9818422578		0,7153486746			1,321177614	-0,0901202845	0,8195092034	0,0001359797	0,0056710442	0,295413353	2,52E-11	0,0358548575	1,63E-12	0,0006711479	0,5371814895	0,9700295887	0,7269256505	0,027734905		0,9325180614			0,1910985615	0,9530254253
"rpsG"	"Q8YP61"	"30S ribosomal protein S7 "	0,8964462318	3	3	7	"fraction07 fraction14 fraction15 fraction16 fraction17 fraction18 fraction19"	0		7	0,1948775664	0,525474228	0,6871913387	0,7608767737	0,8670075947	1,2354490067	0,6810270694	-0,2922005255	-1,4145993513	-0,1638618705	1,0912335356	1,7720099992	1,8207831992	2,3174582149	1,8442745305	-1,5273351454	-1,3075119993	-1,1396529178	0,9223588017	0,3151250499	0,670122607	0,7828108184	0,3061075755	0,0001594773	0,2303853062	0,916236494	0,1680210674	0,9758941263	0,8487439799	0,1324368782	0,0018981495	1,57E-06	0,0027900053	0,0212661988	0,0474559956	0,0351727634
"rpsK"	"Q8YPK2"	"30S ribosomal protein S11 "	0,9206279322	3	3	5	"fraction12 fraction14 fraction15 fraction16 fraction17"	2	"fraction06 fraction08"	7	0,6410856563	0,3768694495	0,5095920708	0,7982502899	0,8203641372	0,7837901494	0,9662548425	0,9993992967	0,4787231224	0,3913049759	1,3110327496	1,3273421957	2,1535109849	1,780996003	2,1197431039	-1,7245548839	-0,9033780092	-0,5441622805	0,4500390189	0,9076185368	0,7984220871	0,3768790546	0,0210559034	0,0542755805	0,0406234643	0,3124699689	0,8500362681	0,9611874272	0,048354683	0,0564224262	9,25E-06	0,0021302044	0,0049964659	0,0088770416	0,4487047359	0,5922175963
"rplN"	"Q8YPI9"	"50S ribosomal protein L14 "	1,04346404	3	3	2	"fraction07 fraction18"	5	"fraction03 fraction04 fraction05 fraction06 fraction08"	7	-0,7679495702	-0,7623638813	-0,6939541768	-0,833668995	-0,9730925549	-1,1679971499	-0,902249003	-0,7323323751	-0,5753518009	-0,4863900176	-0,7331461349	-1,0369599071	-0,9764186546	-0,90159939	-0,3425554175	0,2283464998	1,6941591057	0,5572417791	0,1049240609	0,0074428697	3,97E-07	0,0012285278	5,98E-06	0,0008463	0,0474590046	0,4641089155	0,6567424538	0,9220327509	0,6818981842	0,2344814899	0,3769698106	0,5128726	0,9471722303	0,9729022523	0,0216059668	0,5159489577
"all0930"	"Q8YYC0"	"Protein PatA "	-1,7465685492	1	1	4	"fraction07 fraction08 fraction09 fraction13"	2	"fraction03 fraction04"	6	-0,4310268647	-0,9306416369	-0,7810656851	-0,4168039417	-0,2661067708	1,5403394386	1,605446487	2,1072810756	0,849682574	1,2551550585		1,890498312	0,9145075657					0,5731487697	0,8354935409	0,0376531764	0,0023017647	0,7506994413	0,9052750125	0,0015735622	0,0051725311	0,0030307433	0,6435208515	0,4710278094		0,0435646228	0,82471115					0,8306209563
"pcxA"	"Q8YWE0"	"Proton extrusion protein PcxA "	-1,6817633161	3	3	5	"fraction01_2 fraction12 fraction13 fraction15 fraction19"	1	"fraction05"	6	-1,2782520905	0,1343918376	0,6495920839	0,9157054344	0,3984707321	0,7965322046	0,0895316737	-0,5634888339	-1,2418722808	-1,7694085179	-1,602312148	-1,7451046624	-1,0000767781	-1,6024106142	-1,067252306	-0,9922219212	-1,0898085727	-1,1342211321	0,0021801427	0,946778599	0,4987425081	0,0029167173	0,42321689	0,4262308153	0,9239655138	0,6883157478	0,054606046	0,4328116547	0,0044083263	0,0190080069	0,3110418126	0,0096786362	0,1601667854	0,3776069007	0,1480174251	0,042952612
"rpsU1"	"P0A4B7"	"30S ribosomal protein S21 A "	-0,4466298815	3	3	6	"fraction12 fraction13 fraction14 fraction15 fraction16 fraction17"	0		6	0,2231545387	-0,069949496	-0,2168551719	0,3801846759	0,1016865926	0,1290734206	-0,1503609351	0,0999747485	0,2714074029	0,6942858225	1,4680750977	1,3236442997	2,1939424951	2,0206679097	2,6826567454	-1,5426267838	-0,791149345	-0,5485295278	0,9166997629	0,9557481869	0,9142741206	0,8622707873	0,9573859154	0,9713889011	0,9244717831	0,9553218815	0,9202533576	0,8307990339	0,0237732391	0,0439956764	2,37E-05	7,65E-05	4,35E-05	0,0190209915	0,7042032676	0,7006923643
"rpsJ"	"Q8YP64"	"30S ribosomal protein S10 "	0,9726804797	3	3	5	"fraction13 fraction14 fraction15 fraction16 fraction17"	1	"fraction03"	6	0,8290096838	0,6914632941	0,558234428	0,5782121261	0,2704232037	0,2779242959	0,5904178949	0,4968682507	-0,6859849672	-0,438491765	0,8574631065	1,5109450997	1,9308315311	2,1431377559	2,0450718214	-1,641154798	-1,3265504352	-0,8264328174	0,0594379041	0,0115979245	0,4341128049	0,536421188	0,809246899	0,9460194894	0,4719712188	0,8310580332	0,6438818435	0,9473171511	0,6397498045	0,0167449536	0,0004056508	0,0001873658	0,0001409905	0,0032393176	0,0933186502	0,2697841685
"rplE"	"Q8YPJ1"	"50S ribosomal protein L5 "	0,9838355039	3	3	5	"fraction06 fraction07 fraction08 fraction09 fraction18"	1	"fraction05"	6	-1,2897450454	-0,1145394823	0,0327683517	-0,9525114306	-1,3173983136	-1,2031286194	-1,7811966057	-1,7167497389	-0,8211421655	-0,4830666522	-0,5622606737	-0,890959955	-1,1011028607	-1,1658639881	-0,4050465321	0,1655258998	2,4971131731	0,5087445379	0,4498512593	0,9556441184	0,9579898962	0,0001708133	1,95E-06	0,0002623958	0,0011765186	0,0048333931	0,5932875371	0,940951713	0,8784452597	0,4709880925	0,2311263013	0,1828105162	0,9495891711	0,9778922068	8,73E-05	0,7114746676
"rpsO"	"Q8YYU7"	"30S ribosomal protein S15 "	1,0803035624	3	3	6	"fraction01_2 fraction11 fraction12 fraction14 fraction15 fraction16"	0		6	1,1996327093	0,4130753098	-0,0592174503	-0,8207285243	-1,4469304933	-1,2404448154	-0,6157093144	0,3655252175	0,8963431673	1,3120274331	1,4508050247	1,2786547525	1,8360326636	2,1632353457	1,7593173056	-1,1858193807	-1,1261281507	-0,8902027008	0,0011123398	0,4383526019	0,951824136	0,5614504678	0,461570092	0,7861938518	0,4298410411	0,8738425447	0,2862555709	0,0349840622	0,0349862084	0,0799196591	0,0003931708	6,19E-06	0,0197306068	0,4007790862	0,1153782095	0,2169869596
"rpsF"	"Q8YMX2"	"30S ribosomal protein S6 "	1,3100996611	3	3	6	"fraction11 fraction12 fraction13 fraction14 fraction15 fraction16"	0		6	0,1403047099	-0,2022333974	-0,4328081977	-0,4119304018	0,0510604969	0,2481215462	0,8517018976	0,8580134908	1,1551943689	1,6151045725	1,3589678663	1,5947663164	1,9183201924	2,3609638364	2,1931064794	-1,4322160134	-1,197307987	-0,8027464704	0,9258025571	0,9216279959	0,851406694	0,8375402855	0,9631563786	0,9417074564	0,2446036607	0,6007850161	0,0867479631	0,0060398848	0,0435207172	0,0116074314	0,0003134315	9,37E-05	6,80E-05	0,1033180089	0,271173708	0,7694649728
"rpsQ"	"Q8YPI8"	"30S ribosomal protein S17 "	1,3239226621	3	3	6	"fraction01_2 fraction08 fraction14 fraction15 fraction16 fraction17"	0		6	2,0477775294	1,5499535263	1,3165109014	0,8413757096	0,0382850801	-0,8001371297	-1,9274176288	-1,4079324095	-1,2683577836	0,0432241308	1,2916607187	1,4420821783	2,3846586248	2,2021750899	2,1426998074	-1,6687448992	-1,0494425522	-0,8207944456	0,0009002971	0,5667489881	0,78293729	0,9158704177	0,9687020151	0,9303197529	0,0294920198	0,5915389305	0,7593169919	0,9788403752	0,8329390359	0,1746192637	5,00E-07	3,16E-05	0,0003903539	0,0447268155	0,1590374841	0,3996680863
"alr1158"	"Q8YXQ4"	"Mini-ribonuclease 3 "	1,5832943111	1	1	6	"fraction01_2 fraction08 fraction10 fraction11 fraction12 fraction15"	0		6	-1,2100746315	0,361063549	0,4967762885	-0,1001683003	-0,1893282238	-0,8396156355	-1,3101241255	-1,3818471869	-1,6866803804	-1,8747070477	-2,0686605251	-1,1535621366	-1,4833573844	-2,007924262	-0,8046769735	-1,0859532508	-1,4231762325	-1,4893747969	0,0491752237	0,8245064535	0,1766150165	0,9619601506	0,9363489748	0,4160412833	0,0383386715	0,1552034464	0,0299726607	0,0383264558	0,0179859937	0,4608978194	0,2747674926	0,030072007	0,8638263724	0,7714006487	0,1299130197	0,0595636386
"rpsH"	"Q8YPJ2"	"30S ribosomal protein S8 "	1,7285305643	3	3	5	"fraction01_2 fraction14 fraction15 fraction16 fraction17"	1	"fraction03"	6	1,1421827728	0,9467660256	0,6647607059	-0,1121025098	-1,3991866974	-1,3390601812	-0,9471378953	-0,5159823387	-1,1223058718	-0,6866324291	0,0169755375	1,0528769905	1,8020030745	2,5346675258	2,0550184442	-1,3561836784	-1,1747717196	-0,7366032323	0,0254152809	0,000663598	0,3135723019	0,9513682635	0,2713279551	0,7167561444	0,4733828594	0,8021444917	0,8184626524	0,9483886637	0,9726026588	0,2231108309	0,0006695314	3,94E-07	3,28E-05	0,0271862168	0,1558499535	0,4632991116
"cpdA"	"Q8YLG0"	"3',5'-cyclic-nucleotide phosphodiesterase alr5338 "	-1,7697447327	1	1	4	"fraction03 fraction06 fraction08 fraction09"	1	"fraction04"	5	0,7065297144	-1,1337498506	-0,83298874	-0,4460642115	1,2486846453	1,1578774931	1,4934002868	2,7598433998	-0,6095593016	0,442153959	1,5196864434	0,3851766145	0,4001710076	0,1389544232	-0,229965235	1,0240369042	0,743861192	0,6243770793	0,5455887417	0,0044289351	0,0007822653	0,6966566471	0,0002457011	0,0532835224	0,0114118401	1,53E-05	0,8308162457	0,9515428671	0,181609342	0,9197498255	0,955665444	0,9812666229	0,9684436987	0,8129788203	0,785643469	0,7999593281
"fecB3"	"WP_096637271.1"	"ABC transporter substrate-binding protein "	-1,559566541	2	2	3	"fraction10 fraction16 fraction17"	2	"fraction04 fraction05"	5	-0,9590148556	0,6380119365	0,7802400106	0,6276546073	0,1331826774	-0,307965323	-0,628657359	-0,4815863574	-1,6316164662	-1,0667277007	-1,4563355285	-1,1606969152	-1,1575943726	-1,7467668579	-1,996263429	-2,1398198356	-1,2270060419	-2,5201954466	0,0898845764	0,5055075569	1,85E-06	0,041817377	0,9564453797	0,9649777764	0,6955570242	0,8453876405	0,043995436	0,7588096686	0,0503236668	0,2158296171	0,2908480614	0,054257624	0,0034977743	0,0003475762	0,3925316655	0,3828293113
"all2893"	"Q8YT33"	"All2893 protein "	-1,4529897089	3	3	5	"fraction10 fraction15 fraction16 fraction18 fraction19"	0		5	0,2603742773	-0,2366750967	-0,122185035	0,2913527926	0,7369257481	1,0578526978	1,2529008349	1,3028283969	1,6171249337	1,3998185203	1,2955108957	1,3017085067	1,5244158389	1,6580106851	1,5985003811	1,3543651603	1,6188539292	1,1481861934	0,8724043192	0,8284446657	0,8869704882	0,8886180133	0,3156154794	0,4404427237	0,1070487675	0,0770282312	0,0176382983	0,0543295865	0,1934575956	0,0519494669	0,0501309833	0,00253854	0,002450954	0,089515379	0,0219422678	0,0090512991
"asl1510"	"P70760"	"Asl1510 protein "	-1,0002394825	1	1	3	"fraction06 fraction12 fraction13"	2	"fraction04 fraction05"	5	-0,667911195	-0,5769430768	0,6155580944	0,9163494669	1,0707900333	1,0584267955	1,1687929791	1,4090475212	0,7828731866	1,3014603448	1,8690502964	2,5198117269	1,00670244	1,2792330402	1,6050543182	1,4747605437	0,9298594805	0,9804355945	0,6018285093	0,470611862	0,0393317891	0,0127958024	0,0034552431	0,1032519165	0,0885244551	0,1374274515	0,7091413297	0,4125127853	0,0441364683	0,0014737944	0,7688419304	0,6281107425	0,126225573	0,3483861777	0,631422529	0,4224869033
"alr0506"	"Q8YZF4"	"Alr0506 protein "	-0,8285410406	1	1	5	"fraction14 fraction15 fraction17 fraction18 fraction19"	0		5	-0,3300996515	-0,3641287059	-0,3497499876	-0,4796446879	-0,493261658	0,5285862886	1,0133936482	0,927080781	1,2424102465	1,2987955054	1,0695813567	1,3556148989	1,9474622378	2,4561617477	1,4662476456	1,8853025119	2,5705442605	2,5537784959	0,8849795915	0,8216027131	0,5940373069	0,6234443083	0,6334266904	0,8531022697	0,1843557582	0,5720134366	0,2284516905	0,4158752192	0,6436616078	0,287435852	0,0312992275	0,0014303195	0,2425937597	0,0475823196	8,09E-05	4,51E-06
"alr3353"	"WP_044521720.1"	"peptidoglycan DD-metalloendopeptidase family protein "	-0,5477268856	1	1	5	"fraction04 fraction15 fraction17 fraction18 fraction19"	0		5	0,5877439827	0,6014239626	1,1047352189	0,634279061	0,2381878189	0,3770838067	-0,1371434525	1,0158017594	-0,2951825814	-0,2027057895	-0,6499470063	0,7092588842	0,4252569944	-2,869027829	-1,7275109289	-4,4871465059	-4,475884703	-2,5853108487	0,7029585801	0,4156480496	5,90E-07	0,2427484385	0,9185129989	0,9263159892	0,9227091842	0,4769393533	0,9296533906	0,9714220469	0,8948443246	0,8233641277	0,9531118739	7,06E-05	0,0637232291	2,24E-12	2,74E-13	3,44E-06
"rnz"	"Q8YLZ0"	"Ribonuclease Z "	-0,5407564434	2	2	5	"fraction03 fraction04 fraction06 fraction07 fraction08"	0		5	0,1864694096	1,6964202545	1,8007784007	-0,1644745433	-2,011363358	-1,800791731	-1,0192589415	-0,5759431054	-0,0551761559	-0,1686385645	-0,2327476797	-0,1028449603	-0,2028792601	0,5338913669	-0,7235237238	0,0970546025	-0,4152066421	-0,285585974	0,9284866333	0,0299840713	1,39E-13	0,9614661155	3,36E-12	2,18E-06	0,042279047	0,7695470058	0,9561740968	0,9713170496	0,9553498924	0,9507458695	0,9669393883	0,967402709	0,8299214197	0,9817976659	0,8847078955	0,9038781869
